src,dst
674,4356
4230,6217
1464,6524
2734,5769
659,2344
1795,3373
1347,4040
645,7416
73,1677
1216,2060
4146,4657
2211,5851
5212,5985
406,763
4309,7108
1486,5065
5465,6632
763,3047
4452,6648
1834,6347
1665,4561
439,4046
1817,6921
684,3891
2510,3335
2413,4656
3544,5090
70,4702
1563,3398
3855,7162
5597,7339
5207,6323
763,5556
5654,5675
2422,5989
647,7117
936,5203
3789,4555
806,1246
3566,6912
2991,3006
4785,5335
1233,6519
599,3103
1838,4754
321,3498
1658,3352
2892,7237
139,2645
1627,3565
692,3642
5087,5909
3530,5227
2193,6770
1006,1348
3544,5944
9,2660
3961,4809
815,3538
6146,6654
1611,6698
860,4380
6052,7199
2805,7160
1039,2798
3650,3873
3130,6519
314,4023
1611,6018
3039,5127
647,4000
378,2326
1713,4013
4480,4988
4775,6436
5534,6856
2637,2911
2504,6817
3408,3544
406,3397
3560,6105
907,5115
1736,6960
4010,6085
385,4879
2654,3172
2382,7032
1381,7460
3961,4086
3121,3341
816,3680
6378,7352
3400,4990
5988,6001
1584,4691
2014,4202
3227,6836
1160,5578
78,2060
3178,6853
2453,6727
6168,7398
1496,2841
5454,6244
3325,3569
1850,4904
1728,6638
3650,5663
1233,2955
225,988
557,7569
4321,6865
2149,3614
3942,5594
2452,3240
3056,5824
1108,5370
1271,3042
2045,2145
3399,6249
1689,6794
847,3081
296,3781
2738,4701
30,924
3203,4880
613,1698
2001,3418
2848,5556
4809,5363
4013,5367
1117,6167
571,3227
2026,3162
1520,5029
3405,4754
1646,2440
2462,5127
1189,1804
1497,3530
1177,2809
793,1806
4333,6495
645,2676
2163,4077
3279,5095
4061,4608
776,2347
5786,7021
2308,4728
4095,5543
2413,5534
4692,5274
104,2768
3269,3360
2708,4941
16,7435
2419,3415
4116,5640
1563,5309
406,7202
538,4146
1643,5488
1902,5686
821,7086
3948,7293
750,6419
4038,7090
4651,5935
3822,5065
1642,4783
2745,6732
7100,7372
3778,6757
3161,7237
438,7149
6561,6905
2435,5854
1337,4809
4335,4759
951,3504
1418,2854
645,6367
469,4910
6496,7181
488,3756
1763,6970
3948,4479
2998,7334
104,3486
2644,2798
3977,7601
226,2236
1878,3279
2734,6105
260,3189
2030,2854
1616,5454
167,4933
2262,2571
3984,6460
1250,6878
1883,7404
1316,5218
3616,4460
2037,2628
1151,5857
2775,7026
1184,1893
296,778
3411,7462
2774,7589
983,3165
2498,7595
2008,3468
3190,4531
916,4364
2722,6252
3348,4217
3839,5742
1310,3530
3662,7056
1039,7409
3597,4754
4467,5759
3737,5274
2414,7031
110,6712
3544,6870
1113,3413
474,4381
1471,4720
1135,3949
4530,6709
566,6441
4393,5454
474,2998
1799,6206
2160,2998
3983,7351
5136,6477
4378,7224
865,2180
6466,7600
5417,7599
1945,4456
5715,5791
654,3850
1698,7199
1114,3038
6016,6101
3440,3757
1325,6051
3670,6262
4883,7237
1271,4188
602,4205
4108,5717
1107,1327
448,4902
69,6101
6236,7558
2856,7135
2833,3802
2854,7229
6743,7324
2615,4180
6236,6607
1669,3916
2624,6617
2,4154
3460,5235
1065,2951
104,3536
1633,6640
3659,7282
3022,4528
3234,6411
2954,4751
1677,1878
3450,4163
2854,4690
1519,4718
1133,1758
3597,6205
1831,5953
3721,5927
5604,6110
6408,6427
1131,6888
3644,6108
3377,4606
721,1878
380,2791
5090,7127
3158,7015
4280,7074
3669,6105
4335,5090
4666,6455
865,6454
3544,6146
860,4437
1956,5443
4350,6115
2096,6047
894,1566
1141,3391
1721,5790
380,2094
4492,5443
5526,6733
1930,5981
49,6605
5790,5832
2096,6074
2237,2707
290,7532
1734,3325
854,4961
1578,3985
3829,4560
2998,7014
2229,6101
1016,4952
2892,5405
2725,4242
6684,7587
2867,3273
6,7128
4410,4719
3360,5510
1599,4506
378,3644
2094,4820
1149,2668
3123,3625
5378,6876
3760,6621
1662,3256
1434,3504
1376,5534
3833,6207
1941,4783
4595,5578
3873,4125
474,4175
2532,3071
4507,6077
3612,4593
1219,4777
2781,5725
1054,1882
2160,6612
3873,4254
406,427
2993,4102
1610,2243
1425,2966
4589,5725
5062,6891
675,7089
2705,6481
4109,5443
4544,6476
2329,4464
3757,7162
2146,2298
3715,4532
1941,2259
252,3377
4338,5060
3440,4087
2381,5543
1721,5610
2191,2424
1555,3701
845,4825
1098,2428
3469,7410
4455,5745
3266,6207
3807,6673
2778,5157
6874,7593
6,3079
2594,6639
161,5746
1799,5578
4126,5610
2569,6258
1486,5277
1650,6095
125,7615
416,3509
3103,4595
544,2510
4031,7106
1164,1338
4355,5640
2554,4234
1941,4999
3334,5564
2998,6201
681,3240
280,980
1396,7009
3208,6398
4298,7448
323,1384
715,2476
1672,6712
2022,2920
4931,5795
242,6044
488,2858
2141,6467
251,3538
543,907
686,7233
5127,7488
3530,4323
955,6884
3688,6020
1394,5561
4000,4098
3692,4452
5124,5769
103,4999
2123,5260
3195,4785
482,2854
673,2267
5962,6167
2979,5895
3530,4123
2673,6654
524,3213
2699,5513
1391,3109
1158,6710
2587,2615
1007,7237
471,4720
521,1721
1756,6232
113,3961
3557,5988
400,581
322,5011
2729,3538
1334,6108
4125,4387
5090,7118
5218,6477
1004,7237
4316,6920
212,296
3450,4452
1188,5897
5173,5671
4466,5278
5851,6911
3439,5454
6530,7107
4843,6891
409,5835
1268,6810
378,7575
3196,6598
2056,5610
2532,3450
3926,4065
3045,7334
2289,4235
866,3508
3569,3793
958,7607
2064,7362
524,5893
213,985
2292,2504
13,4904
2254,3504
860,1885
1271,6490
5227,5534
4729,4730
817,4765
2706,4600
110,1149
6,1284
702,2473
3720,5205
866,7406
1671,1921
1464,4517
2020,7162
885,5047
543,1594
2232,4260
1787,7359
5909,7162
2575,2707
5751,7028
5761,5893
3719,7219
4479,7409
465,5416
1663,2204
3920,7604
2458,2511
2160,7604
2083,3597
212,956
1149,6298
471,6427
6617,7554
3845,7256
131,5732
4020,4720
2790,4860
285,6194
1817,7354
840,1315
1628,2428
2299,6411
2534,7074
2229,6491
3530,4892
2484,7170
2787,7339
3103,4994
148,4778
112,3342
251,562
5402,7237
3282,3564
935,5454
1546,5663
4820,6405
5065,6709
4466,5394
2386,4847
1442,3596
2326,4900
6317,6479
4187,4330
647,1606
3644,3961
1973,3932
2253,3885
4337,7224
1019,1768
419,3571
2229,4985
110,3950
6337,7199
5568,5944
3073,7021
2991,5847
5476,5727
7014,7334
1468,7476
4888,7579
1752,2624
1380,6461
18,7185
3038,3228
3669,5402
1897,4229
1971,2673
2014,6031
1140,3747
2747,3548
2725,7490
806,4433
1464,7233
1960,4704
1804,5095
2125,5860
4254,7079
19,2625
1657,5106
2122,4806
2791,3968
6828,7156
3360,4393
1444,7339
4047,5914
7270,7442
2260,7522
1075,5475
290,6146
1637,4338
1531,3645
3845,5892
3162,6261
5703,6633
35,7035
2892,6787
2157,5687
2083,3081
6155,6476
306,6845
2933,6217
1909,4929
2301,6475
1497,7165
3853,4783
1207,4456
1689,5985
110,3399
2239,5264
5682,6973
952,3346
4086,6105
945,2120
1150,5505
3214,3672
5533,5758
2304,7032
3577,5966
1557,5101
1963,5851
313,4750
44,6870
2058,5463
866,6712
502,4785
18,615
2530,4624
252,1560
3530,4960
955,6747
5836,6272
2020,2299
5602,5640
296,6022
4469,6032
5322,7600
3324,5658
4356,6647
3653,5218
2066,3564
2178,2854
3832,4125
1376,3073
110,4860
1223,2037
1898,7028
1734,2613
1381,1645
1126,5120
984,5608
6789,7237
5240,6523
108,2616
5694,6870
1481,1830
1005,6446
2798,4967
54,4141
2734,4900
1281,2097
4330,5876
177,1145
2347,4478
1668,7487
1497,3450
2328,5851
968,3822
1792,2832
1304,1701
4560,7576
1471,6852
1937,4666
2607,7282
1568,6705
3977,5125
487,3479
2571,5097
5761,6217
244,345
6941,7534
3757,5324
3145,6558
5644,7547
2832,5876
3645,6678
1509,6958
5704,6684
5256,6242
4359,6407
5347,6476
1606,7226
148,1879
3632,7488
3158,5215
1718,1848
2468,6921
5458,6241
6383,7297
6272,7265
3991,5323
4433,6503
951,1760
7237,7589
1776,4396
1439,7553
678,7480
2083,2434
2942,6894
3530,6673
654,5292
4416,6369
11,1325
5769,7237
786,5196
2987,6979
3948,7444
2029,5209
611,1961
3845,5314
3108,3669
378,2452
1025,5053
2398,5816
1141,3853
846,3584
3744,4929
599,5725
1833,3852
2995,7142
3822,7020
951,1381
5457,7476
4925,7209
2985,3833
747,3683
192,1549
4904,5174
1691,3006
1219,6972
1840,6727
1848,2422
253,1469
2589,2713
5317,6205
3567,3995
5536,7237
563,7498
3130,5829
266,1956
2428,4212
1413,5658
492,2690
2734,3499
4167,4348
6275,6784
1836,2617
4961,7224
4167,7291
5674,7521
2669,6586
4986,5710
5962,7604
1952,3119
1689,4000
758,5845
1746,2414
3377,7141
2229,7225
5578,7416
4055,5747
3285,5098
4081,7345
3810,5851
1610,4330
2262,6792
58,2177
1464,6703
4648,7074
3210,6419
3189,3381
1117,4612
2972,3437
6616,6712
3926,6476
2066,7334
2144,5570
1590,6388
3208,6147
3450,3832
3400,3826
786,4448
2391,5127
1721,6575
4064,4910
3430,6222
3928,4983
7166,7486
1622,4527
3342,3667
1027,3937
6108,7075
498,5854
469,3580
1260,7541
1658,5526
524,4197
287,2006
1207,5963
1386,7192
2752,4825
1626,2897
3921,6262
2428,7600
3666,5646
1262,5543
5455,6424
1470,5465
13,3971
1620,7199
643,1849
1165,3141
2895,6625
4528,6633
3097,6529
1250,7199
2430,5926
2472,6887
2420,6002
1304,2194
1334,4086
290,5759
1450,4785
221,5663
542,3645
3352,3360
3440,6300
1348,6403
763,6666
4163,6054
4125,7423
799,5831
5384,5639
600,3045
4162,6311
3045,3282
5640,5908
1672,6217
1380,3643
4187,7581
6095,6940
1107,1844
5314,6408
4023,6206
3551,5043
78,4587
6485,6927
2130,3056
1370,4008
287,458
1901,4094
4900,7202
930,3103
1348,3882
385,860
1856,3116
1381,5556
3842,5080
2659,3404
2276,5078
6127,6241
406,6750
1793,6519
1904,5461
406,3333
4396,4931
5703,7284
110,2267
381,1910
49,2510
2328,4318
3492,5881
6378,7350
381,600
6476,7227
2177,5242
4341,5516
95,3855
1560,5857
2001,2498
4575,4894
4900,5238
1925,6794
2372,3330
1685,6175
884,3342
973,7262
1531,4523
524,1933
766,5455
4384,7199
1795,7199
2591,4593
3692,4165
290,3708
378,3240
4931,5683
1936,3649
3210,5956
2318,6429
821,4279
4527,5159
743,2734
3567,3787
2433,3584
1141,5793
4933,7022
2691,6256
3687,6547
1576,1887
6853,7052
2170,3813
5427,5677
4338,5918
778,6022
933,4261
983,6391
2955,3715
4985,6117
4860,6712
3081,6369
1506,3554
2158,2832
104,1046
215,4611
1376,6431
671,1378
2733,3817
4561,6445
4949,6946
2584,3811
3317,7607
6195,7610
2275,3450
674,5669
2320,3408
2586,3920
3584,7579
3215,6319
2538,6321
1312,5581
1555,6140
873,6989
1696,6847
4555,6235
1232,6876
2213,3659
110,2577
798,4393
3698,5862
307,4657
3836,5510
5323,6049
5472,7222
260,4095
2382,3530
1150,2229
290,3047
3224,5212
1795,2059
1127,3708
3423,6461
705,1794
381,5675
57,7349
112,4433
2973,7098
3432,6022
4239,7237
840,6911
3050,4785
2451,6798
197,5043
5701,5751
406,7237
2029,3240
502,2912
5253,7098
3100,5372
2191,4704
380,3081
4150,5274
1770,6378
3399,4728
2162,7143
187,5095
1905,3898
3181,4284
1584,3970
5557,5868
4095,7610
2145,6887
1444,2510
3845,6427
6187,6378
1903,3749
2889,5725
212,2217
212,778
4793,7372
1771,3112
1665,4337
4023,7098
1265,1710
4897,6357
2982,4904
2473,5441
824,2510
5838,7542
1999,2204
1799,5455
2014,3544
406,4086
2014,3165
3809,6390
1849,4932
2029,5866
1906,6641
499,3198
5227,7400
3807,5348
1497,7030
4788,6962
1891,2029
1486,7162
1584,1879
253,7440
3948,4967
3223,6323
1057,4847
3210,5454
4423,5095
6238,6242
5854,6077
6378,7162
2639,3888
2208,7440
2898,3162
1509,1677
2693,3673
4324,4338
524,3559
1792,5314
1424,7162
6797,7425
1430,3780
208,6145
2337,4949
1146,3434
1017,6931
1585,2235
3736,3977
27,6339
5454,7395
2267,7257
951,3961
888,5127
880,4129
321,7281
1888,3084
645,7435
2848,7237
6094,6895
497,2820
17,1334
1701,2194
766,6367
1846,7171
3647,4899
1462,1834
3715,6166
3508,6958
3679,5210
2344,3659
1553,3530
3162,4561
1222,1621
1642,5159
918,6911
2510,6705
3899,5324
2384,7028
1497,2744
918,4019
3336,6321
469,1389
496,6720
1528,3039
136,2466
5429,5699
15,3530
2923,4785
1851,6932
1381,5831
226,2289
409,976
2775,5127
1945,4561
2031,6296
3833,4676
1008,7352
1922,5036
6267,6888
5174,7141
1255,2206
212,927
3876,4502
2782,4780
290,380
2854,5489
290,924
3426,6421
1464,3795
1849,4128
2699,7488
2644,5370
161,2150
951,3165
931,4124
2631,6786
514,3463
2201,5370
891,4121
2476,7547
1213,5268
2996,3780
3430,5876
1147,5334
2428,3348
4235,4256
167,1462
4076,5167
1456,3900
837,1942
2238,3597
1410,4420
846,6652
2104,4562
2428,5128
5462,6797
789,2510
1354,6429
1129,5269
1139,6690
1876,5988
3227,7009
763,2476
3507,7287
741,3597
5633,6125
521,1960
49,3360
4525,4549
5580,7502
3162,3360
6160,7286
1555,3108
6519,7535
3750,4726
5455,6056
2980,5822
232,2897
2160,6270
1576,5763
5060,6940
3565,3699
110,813
2302,7470
4043,6519
1728,2013
2029,3397
4589,7080
2933,6818
900,2233
2848,6552
757,3741
763,6405
1207,5501
5604,7566
6887,7393
110,252
264,7100
953,4549
3977,5657
719,5267
898,7199
2248,3430
623,7123
1558,1879
1233,4309
5703,6361
4929,6836
421,5894
498,5866
3165,5530
3843,5562
1667,6621
3240,3882
5014,5065
1452,2850
1830,4037
3103,3932
2305,6519
1322,2028
1902,4903
2798,6130
6115,6131
3006,4478
5732,6298
3400,4785
4676,6408
3014,4338
2999,3956
3900,4163
2644,2673
1934,6862
6556,7446
5769,6841
3454,7416
2624,4673
5851,6811
4177,5825
1599,6860
1671,4986
1486,5909
808,4444
612,7225
3442,4452
4657,7294
3323,7579
1863,6792
2510,6131
1859,6468
1572,6755
3927,5875
1025,3855
2524,5455
1102,3303
854,4000
2289,3928
2805,5911
2617,6859
337,690
2196,6478
3632,6852
2577,5857
2268,4811
3929,5223
566,4165
1947,4309
4296,5635
6095,7304
3327,7442
3820,7554
524,1876
7351,7412
1941,6519
3347,5675
360,7237
3607,5461
1226,3125
1011,4521
3450,5687
1580,7052
397,4359
2430,7545
2639,4081
5108,5725
1107,3951
3410,3565
3450,3530
3047,5854
5486,6995
2225,3145
5647,6652
1937,6785
5533,6842
1685,6101
2946,6633
2995,5216
2892,4350
6353,6460
4900,5822
174,933
77,6752
1737,5527
2391,2468
2216,2372
4452,7381
763,7409
1107,2947
664,2825
1129,3240
4149,5268
2862,2895
1275,1751
4275,5245
2111,7248
817,2874
3923,3948
5095,5108
2261,7573
3,3381
358,3653
5457,6126
3549,4348
4548,6641
1372,3183
6056,6126
110,3502
1364,6259
2322,5168
2155,6054
870,1284
3855,4755
3418,5274
3360,4337
1054,1439
445,4257
3257,5169
5007,6436
903,6331
2848,7460
4106,4880
3592,4335
5454,6082
1934,2732
1608,3924
81,3498
3305,5158
2295,2700
524,5731
1051,5270
316,7303
3190,3972
1582,6595
3267,4354
777,3237
2838,6731
1674,4777
6514,7224
2146,2470
5443,5561
2399,3137
5561,5848
4535,6478
1776,6656
5719,6449
3748,4364
3141,3589
1152,6859
2676,4091
1093,6709
2083,2476
3022,3948
708,2854
4443,4978
3655,7256
3273,5371
1142,4452
266,5095
4136,7618
3220,5634
2391,3530
4525,4774
112,1534
2828,3715
2624,4139
5203,6887
4809,5556
4617,4819
2433,4164
3211,5240
4461,7237
3138,5001
1920,5797
2205,5455
4350,4549
876,4087
3013,5513
3342,6054
3550,7415
2707,5011
5595,6617
4187,6529
5419,6519
5581,7199
1639,6752
640,1937
5874,6642
1682,3039
2857,6004
2425,6415
1624,2347
582,1190
524,4031
392,4419
1756,6390
306,738
2699,3530
840,3893
3950,6812
1216,4632
4509,7199
605,2988
2438,4460
2743,4000
178,4393
4908,7414
3264,4069
5538,6577
4503,6151
2028,3853
702,1625
2083,5124
473,4467
136,2186
1958,5584
571,5173
898,5268
4279,7086
1327,4983
4280,5095
79,718
2490,5625
5307,6072
759,5658
3703,4719
2199,5988
744,2742
3722,7416
3389,5482
159,7074
1005,5658
2510,4417
4785,5493
5495,6160
3262,7237
5944,6639
4900,6792
166,4901
4908,5703
2157,5274
978,6474
136,2846
418,5653
2476,6193
16,5088
1300,7100
2083,7226
3265,4076
5308,5397
1644,1698
161,289
2160,3521
3722,5364
1057,5476
1488,3584
4274,5578
4452,5098
4873,5020
4931,5761
4637,5353
904,2145
1937,6862
41,3591
4938,7570
2497,4876
440,6898
2066,7215
6446,7435
959,7496
2903,5206
778,1014
6040,6550
1539,6256
1792,7256
2476,5530
3240,6234
6529,6633
4419,4602
4149,4249
2858,7237
6086,6785
3360,3400
1654,4527
1106,2854
1497,2897
4895,6315
1555,5124
983,2452
1882,4414
2434,3165
6673,7569
1107,7592
779,2744
4555,7086
1960,3430
3023,5561
1652,2510
1835,3390
155,5792
209,5703
5053,7015
30,3525
4636,5420
2170,2566
543,2737
34,2944
3584,4914
6416,6811
1232,3632
958,5706
95,4126
999,3110
5485,6062
2171,3039
184,6323
4961,5015
2038,4811
1563,3873
3251,7237
6519,7266
4877,4886
2144,2995
2040,3096
524,4640
5323,7595
6891,7075
1812,6929
2615,7533
3990,7224
146,3555
341,3585
6252,7106
4356,4447
2725,6105
706,888
5672,6084
5371,6836
1388,4425
2522,7541
1349,6101
1146,1570
204,6232
121,6905
3095,7457
985,4410
1348,3597
464,1953
3539,4599
440,3736
4024,6427
3044,4528
2615,7315
3311,5208
2653,3552
488,6891
494,6459
1689,5574
7213,7519
1300,3504
280,1008
4676,6991
2670,4021
4525,6094
2521,6083
1066,3363
3357,4811
486,2108
1893,4125
2233,3853
1054,1973
1154,2835
578,6644
1761,4246
427,5402
1626,4270
3869,4919
46,2414
945,6282
5532,7491
708,1935
1689,6682
3548,5377
2876,3240
961,6938
3575,4807
4069,7541
5335,6277
4086,6870
4147,6976
2807,6794
2637,5095
1921,6519
612,2229
3308,3336
4593,7170
1084,2318
1404,4735
5277,6299
2790,7141
4527,6860
2711,4888
1794,5857
167,3346
1876,2266
2083,2644
2300,5578
6234,7409
3335,5583
6047,6074
2034,5510
6047,6249
413,1486
4595,5242
1455,5670
6210,6854
524,5756
4990,6682
524,4195
1427,5764
4350,7224
471,7489
741,4135
3418,4724
1671,4527
2347,3632
4704,6222
2848,7548
1574,3441
1261,6378
1399,6365
1423,3153
894,4622
2126,4173
1928,3949
2081,7435
1895,2251
2774,5720
550,1677
873,3870
1973,4376
2390,5854
2020,5610
5564,6108
484,3873
3948,5370
21,5764
1598,3822
1571,3530
763,6234
1729,3962
1200,6538
5538,6562
5,5454
6301,6789
1731,5468
1033,7199
290,4202
3012,6272
5309,5539
106,326
2517,3853
4502,6054
5274,7400
1721,3822
226,6696
2160,3500
1185,7331
1684,3584
2289,2854
275,3298
4819,4846
112,2995
4427,5856
933,7110
318,1348
2056,3234
4259,5442
793,4955
1689,2509
877,6978
2354,4599
1132,4319
4050,7062
645,6424
1761,3152
1685,5616
2615,3694
3180,4033
1710,3654
1265,2123
3669,4467
3651,4470
517,7237
3247,6593
1388,4832
2648,2878
785,1276
1941,3715
3565,4994
2213,5813
3450,6855
3314,6477
998,2058
4967,5978
746,1879
1150,3813
1008,7369
942,4212
2221,6753
2428,6617
5632,6935
4602,4963
95,5224
1416,2912
742,7380
3499,4979
471,4146
1789,5956
1011,4356
2798,5688
847,6764
2634,5935
706,5315
1882,3350
2763,6467
4858,7154
5694,5769
1831,7237
1971,6654
1639,4134
1509,5988
667,3382
5840,6274
2096,6877
4101,6888
1006,2476
2905,5579
944,2798
5324,6419
2798,2980
167,4356
1137,2511
3544,3597
1902,3726
1986,7435
1973,2117
3221,6813
1645,5866
1972,6419
1233,5388
406,6296
5449,7029
4427,5638
2889,6772
1642,7608
1559,3946
3956,6212
645,4981
1776,3399
6446,7131
216,2039
4796,6495
4230,6725
2482,3530
4175,4612
743,5402
2959,2987
5713,6607
5526,5670
1842,7189
6712,7560
2520,5757
5972,7403
3544,6398
1586,3571
2240,5951
5769,7548
2510,6043
1831,2083
3708,4979
4561,4785
167,5377
4742,7486
1349,3414
4138,5580
5321,6275
4744,5887
2344,6552
4785,7114
4748,7442
3360,5597
3559,7533
3038,7224
688,1008
1384,5435
508,2157
1074,1838
136,3251
2256,3653
2896,3140
1798,4955
1879,5578
1890,7212
7141,7533
4182,6101
283,2804
3724,4625
406,1334
6313,7537
4480,7122
3738,6804
290,2089
2612,3272
4966,6463
5065,6733
846,2711
6772,7001
462,6617
739,3614
3946,6682
2994,7089
2803,6116
1272,1524
4785,6711
3979,6241
2021,5482
4162,5095
3450,4752
4463,6384
980,5939
5988,6712
1464,3905
3759,5377
378,5822
3377,6217
104,771
3119,7559
1293,5582
3855,4629
1879,3970
1314,5370
4261,6966
2892,5212
524,6298
3277,6896
4228,6101
179,1834
1039,7284
1805,4284
1851,7069
3999,7079
104,5281
3251,6870
5405,5597
1946,2361
1312,7595
4274,5532
4364,5754
3544,6891
1770,6004
5402,6105
4147,6446
226,2217
2860,5675
2216,4929
5394,5663
3141,4217
3296,7162
113,1325
4787,5213
4857,4876
541,6171
3162,3341
2897,7254
6315,6561
4470,5491
2878,3240
958,5158
1610,3855
440,5657
1348,1381
930,2368
1835,5300
972,2515
4947,6175
2384,4957
1279,2586
2476,5079
521,6378
375,5065
2693,2698
2242,6960
2547,6617
3061,6442
3450,5701
2961,7240
1635,3234
524,2885
5995,7162
4506,7301
1795,5562
3766,7033
2434,6846
631,2072
634,2447
814,1503
2361,3544
5471,6475
3758,4811
1744,2510
898,4149
1849,7618
3762,4811
1898,2624
4375,5274
683,3948
4900,7592
4931,5612
3514,4527
4979,6975
4335,5959
4840,5806
898,6441
2560,3493
2513,2591
3504,5854
640,4131
2073,7017
1410,2854
2094,6897
376,2629
1848,5364
1795,3181
813,1029
5127,6935
3530,5948
4119,6969
4739,4785
4033,5134
7075,7237
6505,7190
2277,6186
2676,5600
538,6637
1844,2947
1316,1995
1214,7226
145,5854
524,2538
2216,3744
131,1349
3120,7405
6145,6932
407,765
1555,5703
1102,3413
3381,5823
5332,7284
3853,5220
6337,7366
668,2257
149,5640
2966,6088
2260,4329
1639,3694
2068,5268
1128,6245
520,1737
6245,7602
1846,6642
645,3852
4121,5158
2028,3945
955,6475
1349,6446
6084,6160
3756,6193
1795,6341
3599,5962
960,1651
3136,5556
4911,6569
155,5624
1165,2473
360,6234
2541,6888
3597,7226
5988,6161
2056,2120
2615,7360
524,1639
4660,7352
1452,2711
3446,4324
3469,7405
1114,7498
1897,7199
1905,3858
5078,5570
3130,4398
1062,4811
3867,5211
3172,3321
3296,3855
1203,7110
1334,3165
3103,4814
4036,7251
3038,3747
2994,7569
4151,5635
159,1902
3432,3721
406,6789
6246,6256
3056,6862
3336,6712
290,2714
1630,5514
1950,4169
409,5194
3642,6163
387,7260
4335,7282
2401,5449
550,2626
1474,6002
36,719
2101,4544
1576,5949
533,7375
3737,4533
832,3450
3564,3920
2798,6789
271,3409
4162,6509
3030,4785
1725,3633
3780,6663
945,1892
786,5305
3630,4651
3418,6415
1384,3418
1730,7498
474,6757
3833,6427
1817,4728
1830,4846
2170,5725
4785,6166
2217,4906
573,5660
5072,5604
3929,6325
4502,5948
3216,5127
763,3397
2205,6424
102,2648
3344,5814
1319,4632
502,2259
1613,3597
950,5949
4473,5331
3079,5968
3108,6891
4229,5661
771,1296
2510,4393
1019,7237
1190,4359
710,1250
879,6538
3818,4422
2510,5597
2734,2798
6495,7220
1110,1795
3231,3440
1307,2505
2889,7001
4159,4336
4638,6369
3108,3544
1962,5785
34,4717
2419,2510
1462,5377
398,1316
5090,5944
6323,6672
5174,7371
3360,4151
1015,5677
2798,5090
4985,6641
869,7549
3342,4163
904,6729
4563,6295
3024,6101
1706,4335
1350,4614
4864,7614
4811,5557
1560,1933
1372,6950
3381,5969
1533,5781
5047,6785
3773,6519
2834,4040
4127,5112
3614,6296
1642,6860
909,5854
3183,5418
